rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0000.jpg,0.0,0.7869,0.8138,0.6,1.0,5,3,False,True
2,frame_0291.jpg,116.4,0.775,0.614,1.0,0.84,6,5,False,True
3,frame_0292.jpg,116.8,0.7441,0.6883,0.8,0.8,4,4,False,False
4,frame_0025.jpg,10.0,0.7312,0.9424,0.2,1.0,1,1,False,True
5,frame_0073.jpg,29.2,0.7264,0.5728,0.8,1.0,5,4,False,True
6,frame_0376.jpg,150.4,0.7248,0.7856,1.0,0.16,6,5,False,True
7,frame_0071.jpg,28.4,0.7188,0.6776,0.6,1.0,4,3,False,False
8,frame_0006.jpg,2.4,0.7143,0.7885,0.4,1.0,2,2,False,True
9,frame_0077.jpg,30.8,0.7107,0.5893,0.8,0.88,6,4,False,False
10,frame_0018.jpg,7.2,0.7025,0.765,0.4,1.0,2,2,False,True
11,frame_0005.jpg,2.0,0.6977,0.6355,0.6,1.0,3,3,False,False
12,frame_0375.jpg,150.0,0.6898,0.6996,1.0,0.2,7,5,False,False
13,frame_0029.jpg,11.6,0.6797,0.5993,0.6,1.0,4,3,False,False
14,frame_0122.jpg,48.8,0.6759,0.7519,0.6,0.6,3,3,False,True
15,frame_0010.jpg,4.0,0.6719,0.8238,0.2,1.0,1,1,False,False
16,frame_0032.jpg,12.8,0.6667,0.5735,0.6,1.0,5,3,False,True
17,frame_0294.jpg,117.6,0.6651,0.6822,0.6,0.72,4,3,False,False
18,frame_0130.jpg,52.0,0.6641,0.7201,0.4,0.92,3,2,False,True
19,frame_0074.jpg,29.6,0.664,0.568,0.6,1.0,5,3,False,False
20,frame_0281.jpg,112.4,0.6636,0.9113,0.4,0.44,2,2,False,True
21,frame_0008.jpg,3.2,0.6632,0.5663,0.6,1.0,3,3,False,False
22,frame_0277.jpg,110.8,0.6586,0.6052,1.0,0.28,5,5,False,False
23,frame_0019.jpg,7.6,0.6548,0.9096,0.0,1.0,1,0,False,False
24,frame_0168.jpg,67.2,0.6544,0.6049,0.8,0.56,5,4,False,True
25,frame_0123.jpg,49.2,0.6524,0.6888,0.6,0.64,4,3,False,False
26,frame_0387.jpg,154.8,0.6431,0.7263,0.8,0.2,7,4,False,False
27,frame_0385.jpg,154.0,0.6374,0.7148,0.8,0.2,4,4,False,False
28,frame_0204.jpg,81.6,0.636,0.0,0.0,0.68,0,0,True,False
29,frame_0003.jpg,1.2,0.6331,0.5061,0.6,1.0,3,3,False,False
30,frame_0024.jpg,9.6,0.6292,0.7384,0.2,1.0,1,1,False,False
31,frame_0076.jpg,30.4,0.6273,0.5266,0.6,0.92,5,3,False,False
32,frame_0278.jpg,111.2,0.612,0.6161,0.8,0.32,5,4,False,False
33,frame_0075.jpg,30.0,0.6112,0.7183,0.2,0.96,4,1,False,False
34,frame_0396.jpg,158.4,0.6108,0.6775,0.8,0.16,4,4,False,False
35,frame_0007.jpg,2.8,0.6063,0.4527,0.6,1.0,3,3,False,False
36,frame_0289.jpg,115.6,0.6055,0.7869,0.2,0.76,3,1,False,False
37,frame_0070.jpg,28.0,0.6049,0.5698,0.4,1.0,4,2,False,False
38,frame_0004.jpg,1.6,0.6022,0.5645,0.4,1.0,3,2,False,False
39,frame_0284.jpg,113.6,0.5994,0.4948,0.8,0.56,5,4,False,False
40,frame_0328.jpg,131.2,0.5969,0.5618,1.0,0.08,9,5,False,False
41,frame_0300.jpg,120.0,0.5966,0.8812,0.2,0.48,2,1,False,False
42,frame_0199.jpg,79.6,0.596,0.0,0.0,0.48,0,0,True,False
43,frame_0129.jpg,51.6,0.5945,0.5969,0.4,0.88,4,2,False,False
44,frame_0033.jpg,13.2,0.5921,0.5442,0.4,1.0,5,2,False,False
45,frame_0174.jpg,69.6,0.5917,0.8155,0.4,0.32,2,2,False,False
46,frame_0067.jpg,26.8,0.5876,0.5351,0.4,1.0,4,2,False,False
47,frame_0183.jpg,73.2,0.5865,0.677,0.8,0.04,4,4,False,False
48,frame_0016.jpg,6.4,0.5847,0.5295,0.4,1.0,3,2,False,False
49,frame_0127.jpg,50.8,0.5817,0.4833,0.6,0.8,4,3,False,False
50,frame_0367.jpg,146.8,0.581,0.65,0.8,0.08,9,4,False,False
51,frame_0167.jpg,66.8,0.5802,0.5605,0.6,0.6,4,3,False,False
52,frame_0275.jpg,110.0,0.5797,0.5995,0.8,0.2,5,4,False,False
53,frame_0133.jpg,53.2,0.5783,0.3967,0.6,1.0,4,3,False,False
54,frame_0384.jpg,153.6,0.5757,0.6075,0.8,0.16,4,4,False,False
55,frame_0031.jpg,12.4,0.571,0.502,0.4,1.0,4,2,False,False
56,frame_0028.jpg,11.2,0.567,0.4939,0.4,1.0,2,2,False,False
57,frame_0026.jpg,10.4,0.5651,0.4901,0.4,1.0,2,2,False,False
58,frame_0370.jpg,148.0,0.5639,0.5119,1.0,0.04,6,5,False,False
59,frame_0293.jpg,117.2,0.5628,0.4616,0.6,0.76,5,3,False,False
60,frame_0372.jpg,148.8,0.5612,0.8343,0.4,0.12,2,2,False,False
61,frame_0386.jpg,154.4,0.5612,0.5464,0.8,0.24,6,4,False,False
62,frame_0368.jpg,147.2,0.5608,0.6256,0.8,0.04,7,4,False,False
63,frame_0276.jpg,110.4,0.5551,0.6542,0.6,0.24,6,3,False,False
64,frame_0296.jpg,118.4,0.5534,0.6107,0.4,0.64,3,2,False,False
65,frame_0015.jpg,6.0,0.5498,0.4597,0.4,1.0,3,2,False,False
66,frame_0170.jpg,68.0,0.5483,0.5445,0.6,0.48,5,3,False,False
67,frame_0068.jpg,27.2,0.5455,0.451,0.4,1.0,3,2,False,False
68,frame_0085.jpg,34.0,0.5451,0.7462,0.2,0.56,1,1,False,False
69,frame_0287.jpg,114.8,0.5434,0.5749,0.4,0.68,5,2,False,False
70,frame_0027.jpg,10.8,0.542,0.564,0.2,1.0,1,1,False,False
71,frame_0299.jpg,119.6,0.539,0.5099,0.6,0.52,3,3,False,False
72,frame_0128.jpg,51.2,0.5372,0.4984,0.4,0.84,5,2,False,False
73,frame_0001.jpg,0.4,0.5348,0.4296,0.4,1.0,5,2,False,False
74,frame_0378.jpg,151.2,0.5348,0.5576,0.8,0.08,8,4,False,False
75,frame_0225.jpg,90.0,0.5343,0.5565,0.8,0.08,5,4,False,False
76,frame_0132.jpg,52.8,0.5307,0.4214,0.4,1.0,4,2,False,False
77,frame_0072.jpg,28.8,0.5295,0.659,0.0,1.0,4,0,False,False
78,frame_0319.jpg,127.6,0.5252,0.4585,0.8,0.28,5,4,False,False
79,frame_0233.jpg,93.2,0.5244,0.5928,0.6,0.24,4,3,False,False
80,frame_0087.jpg,34.8,0.5229,0.4937,0.6,0.48,3,3,False,False
81,frame_0381.jpg,152.4,0.5211,0.7862,0.4,0.04,3,2,False,False
82,frame_0097.jpg,38.8,0.5193,0.6466,0.6,0.08,4,3,False,False
83,frame_0317.jpg,126.8,0.5165,0.5931,0.6,0.2,4,3,False,False
84,frame_0382.jpg,152.8,0.515,0.518,0.8,0.08,5,4,False,False
85,frame_0184.jpg,73.6,0.5146,0.6372,0.6,0.08,5,3,False,False
86,frame_0179.jpg,71.6,0.5141,0.6201,0.6,0.12,3,3,False,False
87,frame_0389.jpg,155.6,0.5098,0.6115,0.6,0.12,4,3,False,False
88,frame_0231.jpg,92.4,0.501,0.5781,0.6,0.16,7,3,False,False
89,frame_0209.jpg,83.6,0.5008,0.4736,0.4,0.72,2,2,False,False
90,frame_0216.jpg,86.4,0.5,0.7039,0.2,0.44,2,1,False,False
91,frame_0308.jpg,123.2,0.4991,0.5742,0.6,0.16,4,3,False,False
92,frame_0078.jpg,31.2,0.4969,0.4178,0.4,0.84,5,2,False,False
93,frame_0125.jpg,50.0,0.4967,0.4654,0.4,0.72,3,2,False,False
94,frame_0084.jpg,33.6,0.4955,0.5109,0.4,0.6,3,2,False,False
95,frame_0014.jpg,5.6,0.4929,0.4658,0.2,1.0,2,1,False,False
96,frame_0095.jpg,38.0,0.4921,0.5602,0.6,0.16,5,3,False,False
97,frame_0224.jpg,89.6,0.4894,0.6908,0.4,0.12,4,2,False,False
98,frame_0104.jpg,41.6,0.4872,0.8064,0.2,0.12,2,1,False,False
99,frame_0274.jpg,109.6,0.4845,0.425,0.8,0.16,7,4,False,False
100,frame_0306.jpg,122.4,0.4839,0.5117,0.6,0.24,6,3,False,False
101,frame_0374.jpg,149.6,0.4814,0.5228,0.6,0.2,6,3,False,False
102,frame_0082.jpg,32.8,0.4802,0.4484,0.4,0.68,2,2,False,False
103,frame_0131.jpg,52.4,0.4798,0.4556,0.2,0.96,4,1,False,False
104,frame_0083.jpg,33.2,0.4797,0.4634,0.4,0.64,2,2,False,False
105,frame_0301.jpg,120.4,0.4793,0.5427,0.4,0.44,5,2,False,False
106,frame_0232.jpg,92.8,0.4785,0.517,0.6,0.2,4,3,False,False
107,frame_0330.jpg,132.0,0.4779,0.5798,0.6,0.04,6,3,False,False
108,frame_0388.jpg,155.2,0.4744,0.5247,0.6,0.16,6,3,False,False
109,frame_0096.jpg,38.4,0.4743,0.5407,0.6,0.12,4,3,False,False
110,frame_0011.jpg,4.4,0.4742,0.4284,0.2,1.0,3,1,False,False
111,frame_0111.jpg,44.4,0.473,0.882,0.0,0.16,2,0,False,False
112,frame_0288.jpg,115.2,0.4729,0.4178,0.4,0.72,4,2,False,False
113,frame_0124.jpg,49.6,0.4728,0.4337,0.4,0.68,5,2,False,False
114,frame_0002.jpg,0.8,0.4717,0.3033,0.4,1.0,5,2,False,False
115,frame_0318.jpg,127.2,0.4715,0.487,0.6,0.24,6,3,False,False
116,frame_0304.jpg,121.6,0.4694,0.5708,0.4,0.32,4,2,False,False
117,frame_0121.jpg,48.4,0.469,0.594,0.2,0.56,3,1,False,False
118,frame_0175.jpg,70.0,0.4687,0.7054,0.2,0.28,3,1,False,False
119,frame_0176.jpg,70.4,0.4654,0.4748,0.6,0.24,5,3,False,False
120,frame_0390.jpg,156.0,0.4641,0.6562,0.4,0.08,5,2,False,False
121,frame_0126.jpg,50.4,0.463,0.382,0.4,0.76,7,2,False,False
122,frame_0290.jpg,116.0,0.4611,0.3622,0.4,0.8,6,2,False,False
123,frame_0327.jpg,130.8,0.4605,0.5449,0.6,0.04,7,3,False,False
124,frame_0398.jpg,159.2,0.4604,0.5848,0.4,0.24,5,2,False,False
125,frame_0116.jpg,46.4,0.4587,0.5334,0.4,0.36,3,2,False,False
126,frame_0297.jpg,118.8,0.4584,0.4368,0.4,0.6,4,2,False,False
127,frame_0106.jpg,42.4,0.4552,0.5344,0.6,0.04,7,3,False,False
128,frame_0079.jpg,31.6,0.4549,0.4697,0.2,0.8,6,1,False,False
129,frame_0394.jpg,157.6,0.4532,0.6345,0.4,0.08,2,2,False,False
130,frame_0117.jpg,46.8,0.4521,0.6241,0.2,0.4,3,1,False,False
131,frame_0323.jpg,129.2,0.4512,0.8544,0.0,0.12,1,0,False,False
132,frame_0103.jpg,41.2,0.4468,0.5896,0.4,0.16,4,2,False,False
133,frame_0112.jpg,44.8,0.4459,0.8118,0.0,0.2,2,0,False,False
134,frame_0088.jpg,35.2,0.4441,0.4723,0.4,0.44,3,2,False,False
135,frame_0009.jpg,3.6,0.4415,0.3629,0.2,1.0,2,1,False,False
136,frame_0023.jpg,9.2,0.4397,0.3594,0.2,1.0,1,1,False,False
137,frame_0169.jpg,67.6,0.4392,0.4304,0.4,0.52,5,2,False,False
138,frame_0285.jpg,114.0,0.437,0.5141,0.2,0.6,4,1,False,False
139,frame_0269.jpg,107.6,0.436,0.6161,0.4,0.04,3,2,False,False
140,frame_0302.jpg,120.8,0.4359,0.4718,0.4,0.4,4,2,False,False
141,frame_0379.jpg,151.6,0.4355,0.6149,0.4,0.04,5,2,False,False
142,frame_0295.jpg,118.0,0.4348,0.4776,0.2,0.68,3,1,False,False
143,frame_0030.jpg,12.0,0.434,0.348,0.2,1.0,4,1,False,False
144,frame_0220.jpg,88.0,0.4312,0.5105,0.4,0.28,2,2,False,False
145,frame_0108.jpg,43.2,0.4308,0.6056,0.4,0.04,4,2,False,False
146,frame_0195.jpg,78.0,0.4282,0.4884,0.4,0.32,3,2,False,False
147,frame_0069.jpg,27.6,0.4259,0.3318,0.2,1.0,5,1,False,False
148,frame_0115.jpg,46.0,0.4252,0.4824,0.4,0.32,3,2,False,False
149,frame_0395.jpg,158.0,0.4209,0.5537,0.4,0.12,4,2,False,False
150,frame_0321.jpg,128.4,0.4205,0.4011,0.6,0.2,6,3,False,False
151,frame_0333.jpg,133.2,0.4205,0.4491,0.6,0.08,5,3,False,False
152,frame_0090.jpg,36.0,0.4198,0.4555,0.4,0.36,3,2,False,False
153,frame_0186.jpg,74.4,0.4198,0.4636,0.6,0.04,8,3,False,False
154,frame_0298.jpg,119.2,0.4156,0.3672,0.4,0.56,6,2,False,False
155,frame_0273.jpg,109.2,0.4087,0.4093,0.6,0.12,5,3,False,False
156,frame_0305.jpg,122.0,0.4013,0.4506,0.4,0.28,5,2,False,False
157,frame_0320.jpg,128.0,0.3991,0.4622,0.4,0.24,6,2,False,False
158,frame_0020.jpg,8.0,0.3972,0.3944,0.0,1.0,3,0,False,False
159,frame_0017.jpg,6.8,0.3966,0.2732,0.2,1.0,3,1,False,False
160,frame_0089.jpg,35.6,0.3917,0.3835,0.4,0.4,4,2,False,False
161,frame_0194.jpg,77.6,0.3898,0.4276,0.4,0.28,3,2,False,False
162,frame_0109.jpg,43.6,0.3889,0.5057,0.4,0.08,4,2,False,False
163,frame_0093.jpg,37.2,0.3884,0.4408,0.4,0.24,2,2,False,False
164,frame_0118.jpg,47.2,0.3836,0.5912,0.0,0.44,2,0,False,False
165,frame_0178.jpg,71.2,0.3821,0.5802,0.2,0.16,3,1,False,False
166,frame_0081.jpg,32.4,0.3806,0.3532,0.2,0.72,3,1,False,False
167,frame_0189.jpg,75.6,0.3761,0.6003,0.2,0.08,3,1,False,False
168,frame_0329.jpg,131.6,0.3749,0.4777,0.4,0.08,5,2,False,False
169,frame_0397.jpg,158.8,0.3737,0.6674,0.0,0.2,6,0,False,False
170,frame_0188.jpg,75.2,0.373,0.3699,0.6,0.04,5,3,False,False
171,frame_0177.jpg,70.8,0.3722,0.4245,0.4,0.2,5,2,False,False
172,frame_0210.jpg,84.0,0.3719,0.3517,0.2,0.68,2,1,False,False
173,frame_0282.jpg,112.8,0.3687,0.5453,0.0,0.48,2,0,False,False
174,frame_0080.jpg,32.0,0.3681,0.3122,0.2,0.76,4,1,False,False
175,frame_0094.jpg,37.6,0.3664,0.4128,0.4,0.2,4,2,False,False
176,frame_0279.jpg,111.6,0.362,0.46,0.2,0.36,5,1,False,False
177,frame_0218.jpg,87.2,0.3609,0.4577,0.2,0.36,2,1,False,False
178,frame_0185.jpg,74.0,0.3581,0.5642,0.2,0.08,4,1,False,False
179,frame_0113.jpg,45.2,0.3558,0.3756,0.4,0.24,5,2,False,False
180,frame_0399.jpg,159.6,0.3556,0.3592,0.4,0.28,4,2,False,False
181,frame_0098.jpg,39.2,0.3549,0.4539,0.4,0.04,4,2,False,False
182,frame_0173.jpg,69.2,0.3548,0.3255,0.4,0.36,5,2,False,False
183,frame_0230.jpg,92.0,0.3515,0.415,0.4,0.12,7,2,False,False
184,frame_0286.jpg,114.4,0.3506,0.4452,0.0,0.64,5,0,False,False
185,frame_0201.jpg,80.4,0.3505,0.357,0.2,0.56,1,1,False,False
186,frame_0171.jpg,68.4,0.3487,0.4013,0.2,0.44,2,1,False,False
187,frame_0309.jpg,123.6,0.348,0.528,0.2,0.12,3,1,False,False
188,frame_0322.jpg,128.8,0.3478,0.3915,0.4,0.16,4,2,False,False
189,frame_0215.jpg,86.0,0.3466,0.3812,0.2,0.48,2,1,False,False
190,frame_0271.jpg,108.4,0.3456,0.5551,0.2,0.04,3,1,False,False
191,frame_0226.jpg,90.4,0.3443,0.4325,0.4,0.04,3,2,False,False
192,frame_0092.jpg,36.8,0.344,0.4559,0.2,0.28,2,1,False,False
193,frame_0280.jpg,112.0,0.3439,0.4078,0.2,0.4,4,1,False,False
194,frame_0391.jpg,156.4,0.3349,0.4138,0.4,0.04,4,2,False,False
195,frame_0303.jpg,121.2,0.3256,0.3871,0.2,0.36,5,1,False,False
196,frame_0377.jpg,150.8,0.3239,0.5998,0.0,0.12,7,0,False,False
197,frame_0091.jpg,36.4,0.3224,0.3969,0.2,0.32,2,1,False,False
198,frame_0217.jpg,86.8,0.3218,0.3636,0.2,0.4,1,1,False,False
199,frame_0105.jpg,42.0,0.3167,0.4814,0.2,0.08,5,1,False,False
200,frame_0193.jpg,77.2,0.3157,0.2955,0.4,0.24,5,2,False,False
201,frame_0208.jpg,83.2,0.3145,0.2049,0.2,0.76,3,1,False,False
202,frame_0383.jpg,153.2,0.3085,0.449,0.2,0.12,4,1,False,False
203,frame_0371.jpg,148.4,0.3046,0.3372,0.4,0.08,5,2,False,False
204,frame_0214.jpg,85.6,0.3044,0.2807,0.2,0.52,2,1,False,False
205,frame_0086.jpg,34.4,0.2984,0.2688,0.2,0.52,4,1,False,False
206,frame_0202.jpg,80.8,0.2979,0.2359,0.2,0.6,3,1,False,False
207,frame_0021.jpg,8.4,0.2975,0.195,0.0,1.0,3,0,False,False
208,frame_0393.jpg,157.2,0.2969,0.5777,0.0,0.04,2,0,False,False
209,frame_0229.jpg,91.6,0.2968,0.4416,0.2,0.08,6,1,False,False
210,frame_0012.jpg,4.8,0.2942,0.1883,0.0,1.0,2,0,False,False
211,frame_0172.jpg,68.8,0.2885,0.2971,0.2,0.4,4,1,False,False
212,frame_0013.jpg,5.2,0.2881,0.1761,0.0,1.0,4,0,False,False
213,frame_0332.jpg,132.8,0.2851,0.4342,0.2,0.04,5,1,False,False
214,frame_0315.jpg,126.0,0.2767,0.3854,0.2,0.12,5,1,False,False
215,frame_0022.jpg,8.8,0.2763,0.1526,0.0,1.0,1,0,False,False
216,frame_0324.jpg,129.6,0.2757,0.3993,0.2,0.08,3,1,False,False
217,frame_0272.jpg,108.8,0.2752,0.2783,0.4,0.08,3,2,False,False
218,frame_0307.jpg,122.8,0.2739,0.3477,0.2,0.2,5,1,False,False
219,frame_0373.jpg,149.2,0.2732,0.3623,0.2,0.16,5,1,False,False
220,frame_0314.jpg,125.6,0.2702,0.3885,0.2,0.08,4,1,False,False
221,frame_0219.jpg,87.6,0.2687,0.2895,0.2,0.32,3,1,False,False
222,frame_0311.jpg,124.4,0.2659,0.3958,0.2,0.04,1,1,False,False
223,frame_0316.jpg,126.4,0.2635,0.343,0.2,0.16,5,1,False,False
224,frame_0120.jpg,48.0,0.2606,0.1931,0.2,0.52,3,1,False,False
225,frame_0181.jpg,72.4,0.2572,0.2584,0.4,0.04,4,2,False,False
226,frame_0283.jpg,113.2,0.2535,0.2989,0.0,0.52,4,0,False,False
227,frame_0102.jpg,40.8,0.2511,0.4542,0.0,0.12,2,0,False,False
228,frame_0114.jpg,45.6,0.2465,0.261,0.2,0.28,6,1,False,False
229,frame_0190.jpg,76.0,0.2422,0.3164,0.2,0.12,3,1,False,False
230,frame_0205.jpg,82.0,0.237,0.186,0.0,0.72,2,0,False,False
231,frame_0192.jpg,76.8,0.2349,0.2697,0.2,0.2,2,1,False,False
232,frame_0228.jpg,91.2,0.2344,0.4527,0.0,0.04,3,0,False,False
233,frame_0100.jpg,40.0,0.2321,0.3283,0.2,0.04,3,1,False,False
234,frame_0203.jpg,81.2,0.2273,0.1986,0.0,0.64,1,0,False,False
235,frame_0180.jpg,72.0,0.2252,0.2984,0.2,0.08,4,1,False,False
236,frame_0206.jpg,82.4,0.2223,0.1406,0.0,0.76,1,0,False,False
237,frame_0207.jpg,82.8,0.2165,0.113,0.0,0.8,1,0,False,False
